prompt,result
如非肺炎病例，宜用宽大胶布条紧缠患部以减少其呼吸动作或给镇咳剂抑制咳嗽。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['宽大胶布条', '镇咳剂']}, {'type': 'Symptom', 'response': ['None']}]"
动态肾显影还可作为肾血管性高血压的初筛方法，肾血管性高血压多为单侧肾动脉狭窄，典型表现为患侧肾血流灌注不良肾静态显像静脉注射能够聚集并滞留在肾实质内的显像剂（如99mTc-DMSA和99mTc-GH等），取后位进行肾区静态显像，所得影像即为肾实质影像。,"[{'type': 'Disease', 'response': ['单侧肾动脉狭窄', '肾血管性高血压']}, {'type': 'Drug', 'response': ['99mTc-GH', '99mTc-DMSA']}, {'type': 'Symptom', 'response': ['None']}]"
直接法是将99m</sup>TcO4</sub>-</sup>148MBq（4mCi）经导尿管注入膀胱内，然后用生理盐水缓缓灌注，待膀胱充盈完全后用力排尿，在此过程中，用γ相机以1～2秒一帧的速度连续照相，无论在充盈期或γ相机，输尿管或肾内有放射性出现，即可诊断为膀胱尿反流。,"[{'type': 'Disease', 'response': ['膀胱尿反流']}, {'type': 'Drug', 'response': ['99m</sup>TcO4</sub>-</sup>148MBq（4mCi）']}, {'type': 'Symptom', 'response': ['None']}]"
对另一组18例蛋白尿1～2g/d的IgA肾病也采用皮质激素治疗，同时以42例使用双嘧达莫及吲哚美辛的IgA患者作对照，治疗组在稳定肾功能及降压蛋白尿方面明显优于对照组。,"[{'type': 'Disease', 'response': ['蛋白尿', 'IgA肾病', '蛋白尿1～2g/d']}, {'type': 'Drug', 'response': ['吲哚美辛', '双嘧达莫']}, {'type': 'Symptom', 'response': ['None']}]"
（四）鱼油IgA肾病患者缺乏必需脂肪酸，而鱼油（fishoil）可补充必需脂肪酸，从而防止早期的肾小球损害。,"[{'type': 'Disease', 'response': ['肾小球损害', 'IgA肾病']}, {'type': 'Drug', 'response': ['鱼油', 'fishoil']}, {'type': 'Symptom', 'response': ['None']}]"
早在1984年Hamazaki收集20例IgA肾病患者做了初步研究，治疗组接受鱼油治疗1年，肾功能维持稳定，而未接受鱼油的对照组，则显示血浆肌酐清除率的降低。,"[{'type': 'Disease', 'response': ['IgA肾病']}, {'type': 'Drug', 'response': ['鱼油']}, {'type': 'Symptom', 'response': ['None']}]"
（五）其他Copp最近组织了一个为期6年的前瞻多中心双盲随机对照研究，以探讨长效服用贝那普利（benazepril），0.2mg/（kg•d），对中等程度蛋白尿、肾功能较好的儿童和青年IgA肾病患者的治疗功效，试验于2004年已完成。,"[{'type': 'Disease', 'response': ['中等程度蛋白尿', '肾功能', 'IgA肾病']}, {'type': 'Drug', 'response': ['benazepril', '贝那普利']}, {'type': 'Symptom', 'response': ['None']}]"
以往有人采用苯妥英钠5mg/（kg•d）治疗IgA肾病，发现可降低血清中IgA及多聚IgA水平，且血尿发作次数减少，但循环免疫复合物未减低，且远期疗效不肯定，近年已很少使用。,"[{'type': 'Disease', 'response': ['IgA肾病']}, {'type': 'Drug', 'response': ['苯妥英钠']}, {'type': 'Symptom', 'response': ['None']}]"
高热以物理降温为主，体温过高、中毒症状重者给予地塞米松，每次0.2～0.4mg/kg，每4～6小时一次，疗程2～3天或热退即停。,"[{'type': 'Disease', 'response': ['中毒']}, {'type': 'Drug', 'response': ['地塞米松']}, {'type': 'Symptom', 'response': ['None']}]"
本期因血液浓缩，不宜用全血；②纠正酸中毒：1.4%～2.5%碳酸氢钠静脉注射或静脉滴注，至酸中毒纠正为止；③强心剂应用：在血容量基本补足情况下，心率仍快则可给予毛花苷丙或毒毛花苷K；④血管活性药物应用：血容量补足，血压仍不稳定者可选用血管活性药物，如多巴胺、间羟胺、异丙基肾上腺素或山莨菪碱等。,"[{'type': 'Disease', 'response': ['酸中毒']}, {'type': 'Drug', 'response': ['毒毛花苷K', '间羟胺', '血管活性药物', '多巴胺', '毛花苷丙', '山莨菪碱', '全血', '强心剂', '异丙基肾上腺素']}, {'type': 'Symptom', 'response': ['None']}]"
（三）胃食管反流由于解剖结构的原因，也有医源性因素（如应用氨茶碱、β受体兴奋药等）可以引起胃食管反流，在婴幼儿尤为多见，它是导致喘息反复不愈的重要原因之一。,"[{'type': 'Disease', 'response': ['喘息', '胃食管反流']}, {'type': 'Drug', 'response': ['氨茶碱', 'β受体兴奋药']}, {'type': 'Symptom', 'response': ['None']}]"
哮喘患儿可能由于气道上皮破坏，神经末梢暴露或其他原因，使胆碱能神经的张力及反射加强，是引起气道高反应的重要因素之一；临床常用的抗胆碱能药物主要为阿托品和溴化异丙托品。,"[{'type': 'Disease', 'response': ['气道高反应', '哮喘']}, {'type': 'Drug', 'response': ['溴化异丙托品', '阿托品', '抗胆碱能药物']}, {'type': 'Symptom', 'response': ['None']}]"
阿托品为叔胺类复合物，脂溶性强，容易从黏膜吸收，可以口服给药；但由于其体内分布广泛，系统性不良反应较多；而且可以进入血脑屏障，引起疲劳、烦躁、头痛症状，目前已很少用于哮喘的治疗。,"[{'type': 'Disease', 'response': ['哮喘']}, {'type': 'Drug', 'response': ['阿托品', '口服给药', '茎胺类复合物']}, {'type': 'Symptom', 'response': ['疲劳', '烦躁', '疲劳、烦躁', '系统性不良反应', '头痛']}]"
呕吐常发生在生后2～3周，呈间隙性，可为喷射状，呕吐物不含胆汁，与幽门肥厚性狭窄较难鉴别，试用1∶1000阿托品可缓解。,"[{'type': 'Disease', 'response': ['幽门肥厚性狭窄']}, {'type': 'Drug', 'response': ['阿托品']}, {'type': 'Symptom', 'response': ['None']}]"
对胃十二指肠、小肠部位的先天畸形，钡餐造影可帮助诊断，须注意检查结束时应洗胃，将胃内钡剂洗出，防止呕吐时钡剂。,"[{'type': 'Disease', 'response': ['胃十二指肠、小肠部位的先天畸形']}, {'type': 'Drug', 'response': ['胃内钡剂']}, {'type': 'Symptom', 'response': ['None']}]"
2.洗胃对咽下综合征可先洗胃，用温生理盐水，一般洗2～3次即可，如洗胃后仍呕吐，应考虑其他疾病。,"[{'type': 'Disease', 'response': ['咽下综合征']}, {'type': 'Drug', 'response': ['温生理盐水']}, {'type': 'Symptom', 'response': ['None']}]"
多巴胺小剂量时可改善肾脏功能，剂量加大可增强对心脏的作用，但也可引起外周血管阻力增加，并有可能致心律失常。,"[{'type': 'Disease', 'response': ['心律失常']}, {'type': 'Drug', 'response': ['多巴胺']}, {'type': 'Symptom', 'response': ['None']}]"
多巴酚丁胺致心律失常作用较弱，但有报道因可引起肺动脉楔压升高而致肺水肿。,"[{'type': 'Disease', 'response': ['肺水肿', '心律失常', '肺动脉楔压升高']}, {'type': 'Drug', 'response': ['多巴酚丁胺']}, {'type': 'Symptom', 'response': ['None']}]"
地高辛为可长期应用的经典心肌收缩力增强药物，但在危重病例，因心肌损害严重及肾功能减退，应减量慎用。,"[{'type': 'Disease', 'response': ['心肌损害', '肾功能减退']}, {'type': 'Drug', 'response': ['地高辛']}, {'type': 'Symptom', 'response': ['None']}]"
